provider,source,model,voice_id,settings
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,aiden,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,dylan,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,eric,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,ono_anna,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,ryan,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,serena,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,sohee,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,uncle_fu,"bfloat16, preset voices, resampled to 16 kHz"
Qwen3-TTS,open-source,Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,vivian,"bfloat16, preset voices, resampled to 16 kHz"
Piper,open-source,pt_BR voices (rhasspy/piper),pt_BR-cadu-medium,"ONNX, 16 kHz native"
Piper,open-source,pt_BR voices (rhasspy/piper),pt_BR-edresson-low,"ONNX, 16 kHz native"
Piper,open-source,pt_BR voices (rhasspy/piper),pt_BR-faber-medium,"ONNX, 16 kHz native"
Piper,open-source,pt_BR voices (rhasspy/piper),pt_BR-jeff-medium,"ONNX, 16 kHz native"
Kokoro,open-source,hexgrad/Kokoro-82M,pf_dora,"lang_code 'p', 24 kHz resampled to 16 kHz"
Kokoro,open-source,hexgrad/Kokoro-82M,pm_alex,"lang_code 'p', 24 kHz resampled to 16 kHz"
Kokoro,open-source,hexgrad/Kokoro-82M,pm_santa,"lang_code 'p', 24 kHz resampled to 16 kHz"
